,value
0,0.916632628008402
1,0.06306778180758
2,0.009793776175445894
3,0.003961257453118264
4,0.0025134939496721906
5,0.0013273691269243852
6,0.0010186319558052755
7,0.0008453061507464715
8,0.0006207169191250135
9,0.00021903845318035648
